276,renameat2,0x114,int olddfd,const char *oldname,int newdfd,const char *newname,unsigned int flags,-,man/ cs/
277,seccomp,0x115,unsigned int op,unsigned int flags,const char *uargs,-,-,-,man/ cs/
278,getrandom,0x116,char *buf,size_t count,unsigned int flags,-,-,-,man/ cs/
279,memfd_create,0x117,const char *uname_ptr,unsigned int flags,-,-,-,-,man/ cs/
280,bpf,0x118,int cmd,union bpf_attr *attr,unsigned int size,-,-,-,man/ cs/
281,execveat,0x119,int dfd,const char *filename,const char *const *argv,const char *const *envp,int flags,-,man/ cs/
282,userfaultfd,0x11a,int flags,-,-,-,-,-,man/ cs/
283,membarrier,0x11b,int cmd,int flags,-,-,-,-,man/ cs/
284,mlock2,0x11c,unsigned long start,size_t len,int flags,-,-,-,man/ cs/
285,copy_file_range,0x11d,int fd_in,loff_t *off_in,int fd_out,loff_t *off_out,size_t len,unsigned int flags,man/ cs/
286,preadv2,0x11e,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,rwf_t flags,man/ cs/
287,pwritev2,0x11f,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,rwf_t flags,man/ cs/
288,pkey_mprotect,0x120,unsigned long start,size_t len,unsigned long prot,int pkey,-,-,man/ cs/
289,pkey_alloc,0x121,unsigned long flags,unsigned long init_val,-,-,-,-,man/ cs/
290,pkey_free,0x122,int pkey,-,-,-,-,-,man/ cs/
291,statx,0x123,int dfd,const char *path,unsigned flags,unsigned mask,struct statx *buffer,-,man/ cs/
